"id","name","type","network","subNetwork","firstSeen","lastSeen","latitude","longitude","city","country","countryCode"
56,"orm-tck2","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",-17.5346,-149.5703,"Papeete","French Polynesia","PYF"
42,"Moonbean","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
14,"RadiumBlock-Polkadot_02","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",52.352,4.9392,"Amsterdam","Netherlands","NLD"
37,"detailed-stamp-9463","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
58,"neat-island-6823","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
12,"brainy-cake-1987","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",1.3036,103.8554,"Singapore","Singapore","SGP"
45,"moonbeam-rpc-full-node","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
49,"GPvalidator-backup","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",41.4928,2.0403,"Rubí","Spain","ESP"
36,"omniscient-shock-0056","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
33,"polkadot-mainnet-archive-2","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T12:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
72,"ubiquitous-arm-8657","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
75,"jaded-garden-7907","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-11T17:00:00.000Z",50.1188,8.6843,"Frankfurt am Main","Germany","DEU"
46,"prod-node-glmr-01","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",1.3036,103.8554,"Singapore","Singapore","SGP"
6,"nlg-moonbeam-boot-1","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",53.2157,6.5765,"Groningen","Netherlands","NLD"
5384,"salty-cave-2389","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",39.9625,-83.0061,"Columbus","United States of America","USA"
23,"coherent-oatmeal-0450","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-11T16:00:00.000Z",45.4995,-73.5848,"Montreal","Canada","CAN"
47,"EarnX6","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
26,"puzzling-stone-9972","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
43,"NodeRun","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",36.1685,-115.1164,"Las Vegas","United States of America","USA"
30,"concerned-sheet-4479","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",32.7908,-96.8336,"Dallas","United States of America","USA"
5,"nlg-moonbeam-rpc-6","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",53.2157,6.5765,"Groningen","Netherlands","NLD"
71,"military-stream-6943","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
68,"lush-week-2765","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T08:00:00.000Z",0,0,"",,
27,"sturdy-nut-1477","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
29,"substantial-observation-6184","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
21,"PolkadotNode","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",52.352,4.9392,"Amsterdam","Netherlands","NLD"
48,"mtla-moonbeam-rpc-ws-2","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",45.4995,-73.5848,"Montreal","Canada","CAN"
59,"Excoino-02","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
76,"cc6tgd0grkhch276gkbg","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",22.2908,114.1501,"Central",,
25,"hurried-statement-4414","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
3,"vcc-node-01","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
67,"1kvnode98DOt","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",1.3036,103.8554,"Singapore","Singapore","SGP"
31,"colorful-rabbit-0122","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-11T15:30:00.000Z",53.3379,-6.2591,"Dublin","Ireland","IRL"
53,"short-zoo-0112","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:00:00.000Z",53.323,-6.3159,"Dublin","Ireland","IRL"
52,"nlg-moonbeam-rpc-ws-1","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",53.2157,6.5765,"Groningen","Netherlands","NLD"
19,"long-family-9504","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",53.3379,-6.2591,"Dublin","Ireland","IRL"
10,"ChainodeTech-RPC2","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
60,"🔒stateless_money-3🔒","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",50.1188,8.6843,"Frankfurt am Main","Germany","DEU"
9,"Staking4All t01","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
54,"languid-doll-9237","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
15,"diligent-vase-2217","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
66,"burly-building-8551","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",39.0469,-77.4903,"Ashburn","United States of America","USA"
18,"iosg-polkadot-validator-1","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",47.3682,8.5671,"Zurich","Switzerland","CHE"
64,"even-roll-0449","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-11T16:00:00.000Z",48.8323,2.4075,"Paris","France","FRA"
24,"Exotic Stake","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
73,"nimble-jeans-4017","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",39.0469,-77.4903,"Ashburn","United States of America","USA"
22,"envious-side-0736","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
2,"MoonWorld #3","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",32.8137,-96.8704,"Dallas","United States of America","USA"
70,"actually-argument-4936","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T09:00:00.000Z",26.0492,119.2906,"Fuzhou",,
11,"para-moonbeam-rpc-heavy-4","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",48.8323,2.4075,"Paris","France","FRA"
40,"interesting-bells-0334","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
55,"erratic-purpose-8144","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",39.9625,-83.0061,"Columbus","United States of America","USA"
28,"magenta-thrill-4979","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
61,"available-marble-7330","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",47.6368,7.6888,"Loerrach","Germany","DEU"
4,"para-moonbeam-rpc-ws-0","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",48.8323,2.4075,"Paris","France","FRA"
143,"heartbreaking-seashore-7992","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-11T15:00:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
236,"Simply Staking","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
77,"cac881utj1pkhhj5tb8g","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",38.894,-77.0365,"Washington","United States of America","USA"
158,"sina-kusama-peer-0","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",1.3036,103.8554,"Singapore","Singapore","SGP"
154,"nauseating-plants-3984","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",30.6498,104.0555,"Chengdu","China","CHN"
247,"Kusama_ Brant","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",39.9625,-83.0061,"Columbus","United States of America","USA"
265,"adamant-smoke-7515","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",45.8234,-119.7257,"Boardman","United States of America","USA"
199,"caacoe1430q0nslt3i80","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",53.323,-6.3159,"Dublin","Ireland","IRL"
111,"luxuriant-doll-0900","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",53.0255,10.4072,"Ebstorf","Germany","DEU"
5508,"fluffy-earthquake-7916","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-11T16:30:00.000Z",44.0812,-93.5168,"Waseca","United States of America","USA"
464,"bitcharm","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",1.3036,103.8554,"Singapore","Singapore","SGP"
209,"mchaing5","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
254,"screeching-tail-5142","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",28.1987,112.9709,"Changsha","China","CHN"
454,"grumpy-impulse-0960","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-11T17:30:00.000Z",39.9075,116.3972,"Beijing","China","CHN"
276,"scattered-stitch-9486","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",46.5554,15.6465,"Maribor","Slovenia","SVN"
446,"mtla-moonbeam-rpc-heavy-1","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",45.4995,-73.5848,"Montreal","Canada","CAN"
360,"ALEXA Validator","Validator","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:00:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
215,"onerous-ice-4403","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",53.3379,-6.2591,"Dublin","Ireland","IRL"
122,"MyNode","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",39.0469,-77.4903,"Ashburn","United States of America","USA"
259,"lacking-money-3038","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",47.6722,-122.1257,"Redmond","United States of America","USA"
86,"glamorous-company-3941","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
375,"noiseless-zebra-1776","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",23.1181,113.2539,"Guangzhou","China","CHN"
189,"acrid-veil-9256","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",51.5368,-0.6718,"London","United Kingdom","GBR"
350,"horrible-ants-3388","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",1.2929,103.8547,"Singapore","Singapore","SGP"
226,"LetzBake! #2","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
184,"wide-manager-9005","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
424,"bwarelabs-collator-b","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",50.1188,8.6843,"Frankfurt am Main","Germany","DEU"
293,"1kvnodePA01","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",38.1467,39.2624,"Cungus","Turkey","TUR"
325,"🔱Masternode24🔱","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
438,"ablaze-jump-8960","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
107,"PolkaDocker","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",50.9892,11.298,"Weimar","Germany","DEU"
450,"faithful-star-4238","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T03:00:00.000Z",37.4585,126.7015,"Incheon","South Korea","KOR"
469,"BLACKMIRROR51","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",39.9625,-83.0061,"Columbus","United States of America","USA"
38,"""Equilibrium Polkadot node""","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
384,"enchanted-hall-8473","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-11T18:00:00.000Z",22.2908,114.1501,"Central",,
101,"cbh52mpgq9qjvps4pb5g","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",50.1188,8.6843,"Frankfurt am Main","Germany","DEU"
354,"pink-debt-6712","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",48.8471,2.4941,"Le Perreux-sur-Marne","France","FRA"
147,"joyous-children-1488","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",22.2908,114.1501,"Central",,
272,"Northwoods-A","Validator","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",19.4326,-99.1332,"Mexico City","Mexico","MEX"
364,"jaded-mass-2436","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
396,"known-thunder-9457","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
444,"hulking-zephyr-5012","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",39.0469,-77.4903,"Ashburn","United States of America","USA"
406,"dreary-seed-3819","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",22.2908,114.1501,"Central",,
127,"TestNode","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",37.4585,126.7015,"Incheon","South Korea","KOR"
288,"classy-trick-5416","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",22.1668,114.2475,"Wanchai",,
130,"plant-hearing-2524","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",45.8234,-119.7257,"Boardman","United States of America","USA"
90,"average-bulb-5457","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
263,"swift-throat-6032","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",59.1951,17.6319,"Södertälje","Sweden","SWE"
411,"hungry-produce-7492","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",23.1181,113.2539,"Guangzhou","China","CHN"
330,"phobic-geese-0586","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
387,"raspy-invention-2572","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",50.1188,8.6843,"Frankfurt am Main","Germany","DEU"
371,"nine-corn-5605","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
207,"Anonstake","Validator","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:00:00.000Z",0,0,"",,
433,"🚀 PolkaStats/2","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
267,"mindless-voyage-7986","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.4141,119.5291,"Rizhao","China","CHN"
339,"cut-insect-8659","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",52.3759,4.8975,"Amsterdam","Netherlands","NLD"
392,"swanky-expert-2476","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-11T17:00:00.000Z",30.3155,-81.3989,"Neptune Beach","United States of America","USA"
220,"pgeglmr04vm","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
308,"obnoxious-sound-4213","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",45.748,4.85,"Lyon","France","FRA"
181,"wiggly-gold-8834","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",39.0469,-77.4903,"Ashburn","United States of America","USA"
134,"🔒stateless_money-1🔒","Validator","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",50.1188,8.6843,"Frankfurt am Main","Germany","DEU"
81,"Dox-KSM-18","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
168,"stake_su","Validator","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
230,"Moonbeam-Tokyo-28","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
219,"bewildered-wealth-1682","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",37.4765,121.4408,"Yantai","China","CHN"
413,"placid-produce-2768","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",39.9625,-83.0061,"Columbus","United States of America","USA"
320,"victorious-mice-9263","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
334,"wicked-caption-3218","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",50.1188,8.6843,"Frankfurt am Main","Germany","DEU"
403,"BLACKMIRROR23","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",39.9625,-83.0061,"Columbus","United States of America","USA"
314,"mchainh1","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
202,"mchaini4","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
251,"Kusama_Duck","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",39.9625,-83.0061,"Columbus","United States of America","USA"
389,"spiffy-distribution-1899","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-11T23:30:00.000Z",0,0,"",,
234,"sedate-request-7778","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",48.5497,8.7194,"Nagold","Germany","DEU"
108,"caaff2p430q0nslt3ik0","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",53.323,-6.3159,"Dublin","Ireland","IRL"
214,"ultra-bone-9080","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",60.1719,24.9347,"Helsinki","Finland","FIN"
383,"dd_node_api","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
99,"piquant-umbrella-3053","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",53.3379,-6.2591,"Dublin","Ireland","IRL"
394,"ZKValidator3","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:00:00.000Z",53.3379,-6.2591,"Dublin","Ireland","IRL"
401,"astonishing-paste-6771","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",39.0469,-77.4903,"Ashburn","United States of America","USA"
208,"hideous-advertisement-2060","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
193,"whispering-rose-9194","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",50.1188,8.6843,"Frankfurt am Main","Germany","DEU"
91,"zany-letter-9366","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-11T16:30:00.000Z",34.6946,135.5021,"Osaka","Japan","JPN"
243,"🍀ARISTOPHANES🍀","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
467,"jm-2-polkadot-apiservice","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
442,"kindhearted-thrill-4061","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
279,"changeable-boot-3501","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",1.3036,103.8554,"Singapore","Singapore","SGP"
183,"cbh5erbje8h4ae8lnvqg","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",50.8336,4.3337,"Brussels","Belgium","BEL"
410,"❄❄❄️","Validator","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T12:30:00.000Z",0,0,"",,
300,"freezing-soda-5486","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
376,"opposite-pen-2189","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
120,"HotBit","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
328,"BloClick Staking 100% CO2 free Backup","Node","POLKADOT","MOONBEAM","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
167,"zippy-mouth-7773","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",34.2635,108.9246,"Xi'an","China","CHN"
85,"demonic-yard-4925","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
172,"delicious-ice-8565","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",0,0,"",,
104,"feigned-coast-8872","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",45.8234,-119.7257,"Boardman","United States of America","USA"
437,"damp-fire-2800","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
188,"goofy-cough-7702","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",50.0804,14.5045,"Prague","Czech Republic","CZE"
459,"Gareth Bale","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",50.1188,8.6843,"Frankfurt am Main","Germany","DEU"
431,"🛡 DWELLIR DOT RPC2 🛡","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",59.1951,17.6319,"Södertälje","Sweden","SWE"
283,"grieving-top-3850","Node","POLKADOT","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",35.6893,139.6899,"Tokyo","Japan","JPN"
346,"ajar-swing-0419","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",1.3036,103.8554,"Singapore","Singapore","SGP"
309,"obsolete-death-9489","Node","KUSAMA","","2022-10-11T14:30:00.000Z","2022-10-12T13:30:00.000Z",45.4605,-73.8479,"Kirkland","Canada","CAN"
